letter,frequency
Alabama,9.055338519758076
Alaska,1.7770608780047707
Arizona,9.988023988293541
Arkansas,17.297346017170103
California,7.683698282427693
Colorado,1.8580466268986806
Connecticut,1.009736383073789
Delaware,2.8754400450211755
District of Columbia,2.408788393607359
Florida,14.391646568723697
Georgia,14.513879686247783
Hawaii,5.155833295665145
Idaho,8.057905000657502
Illinois,4.99533571378573
Indiana,4.456183020784083
Iowa,8.113924572196497
Kansas,6.453132068839816
Kentucky,5.5286051597778085
Louisiana,13.8100333118654
Maine,0.6695372456130432
Maryland,3.3743102512868695
Massachusetts,5.904966599216569
Michigan,3.3544086993535602
Minnesota,3.8655004440006016
Mississippi,20.361883763212123
Missouri,6.077464371068793
Montana,6.830230412676908
Nebraska,4.290718400668318
Nevada,11.330594943892452
New Hampshire,0.6619053607715168
New Jersey,1.4636030078167659
New Mexico,5.198325662226152
New York,1.2285668418239726
North Carolina,7.198645624882485
North Dakota,7.873375132207091
Ohio',0
Oklahoma,5.964157937978317
Oregon,2.7265806284270453
Pennsylvania,3.476022358713166
Rhode Island,6.513360412550584
South Carolina,14.353098657256938
South Dakota,4.634554105028039
Tennessee,10.16228316923833
Texas,12.184489238316297
Utah,1.4660204531687564
Vermont,0.0
Virginia,6.924007784412407
Washington,2.718357303247728
West Virginia,7.8676581775936905
Wisconsin,2.919741125446849
Wyoming,2.073401882303342
